probe,target,correct_label,formatted_question,option_a,option_b,option_c,option_d,option_e,distractors,fact,raw_knowledge_statement,section,formatted_question_5shot
"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the progressive extension strategy used to achieve a 2048k context window, what initial length is searched on the pre-trained LLM before fine-tuning it?",256k length.,(A),"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the progressive extension strategy used to achieve a 2048k context window, what initial length is searched on the pre-trained LLM before fine-tuning it?
(A) 256k length.
(B) 128k length.
(C) 2048k length.
(D) 512k length.
(E) 32k length.",256k length.,128k length.,2048k length.,512k length.,32k length.,"[""128k length."", ""2048k length."", ""512k length."", ""32k length.""]","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the progressive extension strategy used to achieve a 2048k context window, the initial length searched on the pre-trained LLM before fine-tuning it is 256k length.",The strategy begins by searching for a 256k length on the pre-trained LLM and fine-tuning it under this length.,Introduction,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the progressive extension strategy used to achieve a 2048k context window, what initial length is searched on the pre-trained LLM before fine-tuning it?
(A) 256k length.
(B) 128k length.
(C) 2048k length.
(D) 512k length.
(E) 32k length."
"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the simplified RoPE encoding for a token at position index $n$, what does $d$ denote?",the embedding dimension.,(C),"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the simplified RoPE encoding for a token at position index $n$, what does $d$ denote?
(A) the default base value used to compute the rotation frequencies.
(B) the number of attention heads in the transformer.
(C) the embedding dimension.
(D) the rotary angle of the token at position n.
(E) the context window extension ratio.",the default base value used to compute the rotation frequencies.,the number of attention heads in the transformer.,the embedding dimension.,the rotary angle of the token at position n.,the context window extension ratio.,"[""the default base value used to compute the rotation frequencies."", ""the number of attention heads in the transformer."", ""the rotary angle of the token at position n."", ""the context window extension ratio.""]","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the simplified RoPE encoding for a token at position index \(n\), \(d\) denotes the embedding dimension.","For a token at position index $n$, its corresponding RoPE encoding can be simplified as follows:

\begin{equation}
		\fontsize{7.8}{7.8} \selectfont
	\label{eq:rope}
	\left[ cos(n\theta_0), sin(n\theta_0), cos(n\theta_1), \cdot\cdot\cdot, cos(n\theta_{d/2-1}), sin(n\theta_{d/2-1}) \right]   
\end{equation}

where $d$ is the embedding dimension, 
 $n\theta_i$ is the rotary angle of token at position $n$, 
$\theta_i=\theta^{-2i/d}$ represents the rotation frequencies.",Non-uniformity in Positional Interpolation,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the simplified RoPE encoding for a token at position index $n$, what does $d$ denote?
(A) the default base value used to compute the rotation frequencies.
(B) the number of attention heads in the transformer.
(C) the embedding dimension.
(D) the rotary angle of the token at position n.
(E) the context window extension ratio."
"In the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what is the context window extension ratio $s$ defined as in terms of the extended context length $L'$ and the original length $L$?",extended context length $L'$ to the original length $L$.,(D),"In the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what is the context window extension ratio $s$ defined as in terms of the extended context length $L'$ and the original length $L$?
(A) the interpolated rotation frequency $\theta_i/s$ to the original frequency $\theta_i$.
(B) the difference between the extended context length $L'$ and the original length $L$.
(C) the sum of the extended context length $L'$ and the original length $L$.
(D) extended context length $L'$ to the original length $L$.
(E) original length $L$ to the extended context length $L'$.",the interpolated rotation frequency $\theta_i/s$ to the original frequency $\theta_i$.,the difference between the extended context length $L'$ and the original length $L$.,the sum of the extended context length $L'$ and the original length $L$.,extended context length $L'$ to the original length $L$.,original length $L$ to the extended context length $L'$.,"[""the interpolated rotation frequency $\\theta_i/s$ to the original frequency $\\theta_i$."", ""the difference between the extended context length $L'$ and the original length $L$."", ""the sum of the extended context length $L'$ and the original length $L$."", ""original length $L$ to the extended context length $L'$.""]","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the context window extension ratio $s$ is defined as the ratio of extended context length $L'$ to the original length $L$.",We define $s$ as  the ratio of extended context length $L'$ to the original length $L$: $s=\frac{L'}{L}$.,Non-uniformity in Positional Interpolation,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: In the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what is the context window extension ratio $s$ defined as in terms of the extended context length $L'$ and the original length $L$?
(A) the interpolated rotation frequency $\theta_i/s$ to the original frequency $\theta_i$.
(B) the difference between the extended context length $L'$ and the original length $L$.
(C) the sum of the extended context length $L'$ and the original length $L$.
(D) extended context length $L'$ to the original length $L$.
(E) original length $L$ to the extended context length $L'$."
"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what does LongRoPE avoid needing in order to achieve a 2048k context window?",direct fine-tuning on texts with extremely long lengths,(C),"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what does LongRoPE avoid needing in order to achieve a 2048k context window?
(A) retraining the base transformer from scratch on a much larger pre-training corpus
(B) multidimensional non-uniform positional interpolation across RoPE dimensions
(C) direct fine-tuning on texts with extremely long lengths
(D) the use of an evolutionary search algorithm to identify RoPE rescale factors
(E) a progressive extension strategy that starts from a 256k context length",retraining the base transformer from scratch on a much larger pre-training corpus,multidimensional non-uniform positional interpolation across RoPE dimensions,direct fine-tuning on texts with extremely long lengths,the use of an evolutionary search algorithm to identify RoPE rescale factors,a progressive extension strategy that starts from a 256k context length,"[""retraining the base transformer from scratch on a much larger pre-training corpus"", ""multidimensional non-uniform positional interpolation across RoPE dimensions"", ""the use of an evolutionary search algorithm to identify RoPE rescale factors"", ""a progressive extension strategy that starts from a 256k context length""]","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", LongRoPE achieves a 2048k context window without direct fine-tuning on texts with extremely long lengths","Then, {LongRoPE} leverages an efficient, progressive extension strategy to achieve a 2048k context window without the need of direct fine-tuning on texts with extremely long lengths, which are scarce and hardly available.",Introduction,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what does LongRoPE avoid needing in order to achieve a 2048k context window?
(A) retraining the base transformer from scratch on a much larger pre-training corpus
(B) multidimensional non-uniform positional interpolation across RoPE dimensions
(C) direct fine-tuning on texts with extremely long lengths
(D) the use of an evolutionary search algorithm to identify RoPE rescale factors
(E) a progressive extension strategy that starts from a 256k context length"
"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the description of linear positional interpolation for a target extension ratio $s$, the rotation angles of all positions are linearly reduced by $\lambda=s$ across what?",all RoPE dimensions.,(C),"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the description of linear positional interpolation for a target extension ratio $s$, the rotation angles of all positions are linearly reduced by $\lambda=s$ across what?
(A) the extended context window from L to L'.
(B) the higher-frequency RoPE dimensions only.
(C) all RoPE dimensions.
(D) only the newly added positions beyond the original context length.
(E) every transformer layer and attention head.",the extended context window from L to L'.,the higher-frequency RoPE dimensions only.,all RoPE dimensions.,only the newly added positions beyond the original context length.,every transformer layer and attention head.,"[""the extended context window from L to L'."", ""the higher-frequency RoPE dimensions only."", ""only the newly added positions beyond the original context length."", ""every transformer layer and attention head.""]","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the description of linear positional interpolation for a target extension ratio $s$, the rotation angles of all positions are linearly reduced by $\lambda=s$ across all RoPE dimensions.","For a target extension ratio $s$, the rotation angles of all positions are linearly reduced by $\lambda=s$  across all RoPE dimensions.",Non-uniformity in Positional Interpolation,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the description of linear positional interpolation for a target extension ratio $s$, the rotation angles of all positions are linearly reduced by $\lambda=s$ across what?
(A) the extended context window from L to L'.
(B) the higher-frequency RoPE dimensions only.
(C) all RoPE dimensions.
(D) only the newly added positions beyond the original context length.
(E) every transformer layer and attention head."
"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the discussion of NTK-based interpolation and extrapolation methods for RoPE, what do the authors suggest distributing interpolation pressure across in order to mitigate the crowded-positions issue in PI?",RoPE dimensions.,(B),"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the discussion of NTK-based interpolation and extrapolation methods for RoPE, what do the authors suggest distributing interpolation pressure across in order to mitigate the crowded-positions issue in PI?
(A) position indices
(B) RoPE dimensions.
(C) hidden layers
(D) rotation angles
(E) attention heads",position indices,RoPE dimensions.,hidden layers,rotation angles,attention heads,"[""position indices"", ""hidden layers"", ""rotation angles"", ""attention heads""]","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the authors suggest mitigating the crowded-positions issue in PI by distributing interpolation pressure across RoPE dimensions.","To mitigate the crowded-positions issue in PI, they suggest to distribute interpolation pressure across RoPE dimensions.",Non-uniformity in Positional Interpolation,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the discussion of NTK-based interpolation and extrapolation methods for RoPE, what do the authors suggest distributing interpolation pressure across in order to mitigate the crowded-positions issue in PI?
(A) position indices
(B) RoPE dimensions.
(C) hidden layers
(D) rotation angles
(E) attention heads"
"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what issue in positional interpolation (PI) do the NTK-based interpolation and extrapolation methods aim to mitigate by distributing interpolation pressure across RoPE dimensions?",the crowded-positions issue.,(D),"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what issue in positional interpolation (PI) do the NTK-based interpolation and extrapolation methods aim to mitigate by distributing interpolation pressure across RoPE dimensions?
(A) the high-extension-ratio underperformance problem.
(B) the uniform-scaling mismatch across RoPE dimensions.
(C) the long-range dependency bottleneck.
(D) the crowded-positions issue.
(E) the vanishing-gradient problem.",the high-extension-ratio underperformance problem.,the uniform-scaling mismatch across RoPE dimensions.,the long-range dependency bottleneck.,the crowded-positions issue.,the vanishing-gradient problem.,"[""the high-extension-ratio underperformance problem."", ""the uniform-scaling mismatch across RoPE dimensions."", ""the long-range dependency bottleneck."", ""the vanishing-gradient problem.""]","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the issue in positional interpolation (PI) that NTK-based interpolation and extrapolation methods aim to mitigate by distributing interpolation pressure across RoPE dimensions is the crowded-positions issue.","To mitigate the crowded-positions issue in PI, they suggest to distribute interpolation pressure across RoPE dimensions.",Non-uniformity in Positional Interpolation,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what issue in positional interpolation (PI) do the NTK-based interpolation and extrapolation methods aim to mitigate by distributing interpolation pressure across RoPE dimensions?
(A) the high-extension-ratio underperformance problem.
(B) the uniform-scaling mismatch across RoPE dimensions.
(C) the long-range dependency bottleneck.
(D) the crowded-positions issue.
(E) the vanishing-gradient problem."
"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the unified formulation for positional interpolation used to extend the context window from $L$ to $L'$, what does $\lambda$ denote?",the actual rescale factor related to $s$.,(B),"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the unified formulation for positional interpolation used to extend the context window from $L$ to $L'$, what does $\lambda$ denote?
(A) the original RoPE base value \(\theta\) (typically 10000).
(B) the actual rescale factor related to $s$.
(C) the geometric frequency base \(\beta=\theta^{2/d}\) used in RoPE.
(D) the softmax temperature scaling factor used in attention.
(E) the context window extension ratio \(s=\frac{L'}{L}\).",the original RoPE base value \(\theta\) (typically 10000).,the actual rescale factor related to $s$.,the geometric frequency base \(\beta=\theta^{2/d}\) used in RoPE.,the softmax temperature scaling factor used in attention.,the context window extension ratio \(s=\frac{L'}{L}\).,"[""the original RoPE base value \\(\\theta\\) (typically 10000)."", ""the geometric frequency base \\(\\beta=\\theta^{2/d}\\) used in RoPE."", ""the softmax temperature scaling factor used in attention."", ""the context window extension ratio \\(s=\\frac{L'}{L}\\).""]","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the unified formulation for positional interpolation used to extend the context window from $L$ to $L'$, $\lambda$ denotes the actual rescale factor related to $s$.","Let $\beta=\theta^{2/d}$, and $\lambda$ denote the actual rescale factor related to $s$, we   unify these positional interpolation methods as follows:

\begin{equation}	
	\fontsize{7.5}{7.5} \selectfont
	\label{eq:unified_rope}
	\begin{aligned}
		\left[cos\left(\frac{n}{\lambda(\beta)^0}\right), sin \left(\frac{n}{\lambda(\beta)^0}\right), cos\left(\frac{n}{\lambda(\beta)^1}\right), \cdot\cdot\cdot,  sin \left(\frac{n}{\lambda(\beta)^{d/2-1}}\right) \right]   
	\end{aligned}
\end{equation}",Non-uniformity in Positional Interpolation,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the unified formulation for positional interpolation used to extend the context window from $L$ to $L'$, what does $\lambda$ denote?
(A) the original RoPE base value \(\theta\) (typically 10000).
(B) the actual rescale factor related to $s$.
(C) the geometric frequency base \(\beta=\theta^{2/d}\) used in RoPE.
(D) the softmax temperature scaling factor used in attention.
(E) the context window extension ratio \(s=\frac{L'}{L}\)."
"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what does YaRN partition into three frequency-based groups, each using a different interpolation strategy?",RoPE dimensions.,(E),"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what does YaRN partition into three frequency-based groups, each using a different interpolation strategy?
(A) sequence lengths.
(B) transformer layers.
(C) attention heads.
(D) token positions.
(E) RoPE dimensions.",sequence lengths.,transformer layers.,attention heads.,token positions.,RoPE dimensions.,"[""sequence lengths."", ""transformer layers."", ""attention heads."", ""token positions.""]","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", YaRN partitions into three frequency-based groups, each using a different interpolation strategy across RoPE dimensions.","It divides RoPE dimensions into three frequency-based groups, each with a different interpolation strategy.",Non-uniformity in Positional Interpolation,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what does YaRN partition into three frequency-based groups, each using a different interpolation strategy?
(A) sequence lengths.
(B) transformer layers.
(C) attention heads.
(D) token positions.
(E) RoPE dimensions."
"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", how many frequency-based groups does YaRN divide RoPE dimensions into in its interpolation strategy?",three.,(D),"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", how many frequency-based groups does YaRN divide RoPE dimensions into in its interpolation strategy?
(A) eight.
(B) two.
(C) five.
(D) three.
(E) four.",eight.,two.,five.,three.,four.,"[""eight."", ""two."", ""five."", ""four.""]","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the number of frequency-based groups into which YaRN divides RoPE dimensions in its interpolation strategy is three.","It divides RoPE dimensions into three frequency-based groups, each with a different interpolation strategy.",Non-uniformity in Positional Interpolation,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", how many frequency-based groups does YaRN divide RoPE dimensions into in its interpolation strategy?
(A) eight.
(B) two.
(C) five.
(D) three.
(E) four."
"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what does the improved dynamic NTK adjust the extension ratio at each position based on?",the current sequence length,(A),"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what does the improved dynamic NTK adjust the extension ratio at each position based on?
(A) the current sequence length
(B) the absolute token position
(C) the rotary embedding dimension
(D) the number of attention heads
(E) the maximum training context length",the current sequence length,the absolute token position,the rotary embedding dimension,the number of attention heads,the maximum training context length,"[""the absolute token position"", ""the rotary embedding dimension"", ""the number of attention heads"", ""the maximum training context length""]","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the improved dynamic NTK adjusts the extension ratio at each position based on the current sequence length",The improved dynamic NTK~\cite{dynamicntk}  adjusts the extension ratio at each position based on the current sequence length.,Non-uniformity in Positional Interpolation,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what does the improved dynamic NTK adjust the extension ratio at each position based on?
(A) the current sequence length
(B) the absolute token position
(C) the rotary embedding dimension
(D) the number of attention heads
(E) the maximum training context length"
"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what do PI methods necessitate in order to extend context windows?",fine-tuning.,(A),"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what do PI methods necessitate in order to extend context windows?
(A) fine-tuning.
(B) a maximum extension ratio of 4×.
(C) frequency-based grouping of RoPE dimensions.
(D) pre-training from scratch.
(E) dynamic NTK scaling.",fine-tuning.,a maximum extension ratio of 4×.,frequency-based grouping of RoPE dimensions.,pre-training from scratch.,dynamic NTK scaling.,"[""a maximum extension ratio of 4×."", ""frequency-based grouping of RoPE dimensions."", ""pre-training from scratch."", ""dynamic NTK scaling.""]","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", PI methods necessitate fine-tuning.","Unlike PI, which necessitates fine-tuning, NTK-aware methods can extend context windows in non-fine-tuning scenarios, but usually with a maximum extension ratio of 4$\times$.",Non-uniformity in Positional Interpolation,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what do PI methods necessitate in order to extend context windows?
(A) fine-tuning.
(B) a maximum extension ratio of 4×.
(C) frequency-based grouping of RoPE dimensions.
(D) pre-training from scratch.
(E) dynamic NTK scaling."
