domain,probe_index,old_target_words,new_target_words,decision,accepted,validation_status,split_word_index,old_probe,old_target,new_probe,new_target,fact,reason
Apex_Bank_v_Cc_Serve_Corp,29,13,12,ACCEPT,True,accepted,1,"In the case ""Apex Bank v. CC Serve Corp."", Apex filed intent-to-use applications with the United States Patent and Trademark Office to register the ASPIRE BANK word and design marks for banking and financing services, and", the examining attorney approved the ASPIRE BANK word and design marks for publication,"In the case ""Apex Bank v. CC Serve Corp."", Apex filed intent-to-use applications with the United States Patent and Trademark Office to register the ASPIRE BANK word and design marks for banking and financing services, and the", examining attorney approved the ASPIRE BANK word and design marks for publication,"In the case ""Apex Bank v. CC Serve Corp."", Apex filed intent-to-use applications with the United States Patent and Trademark Office to register the ASPIRE BANK word and design marks for banking and financing services, and the examining attorney approved the ASPIRE BANK word and design marks for publication",Removes article and preserves coherent target
Apex_Bank_v_Cc_Serve_Corp,35,17,11,ACCEPT,True,accepted,6,"According to the opinion in ""Apex Bank v. CC Serve Corp."", in a trademark opposition under Section 2(d) of the Lanham Act, likelihood of confusion is"," a question of law, based on findings of relevant underlying facts, namely findings under the DuPont factors.","According to the opinion in ""Apex Bank v. CC Serve Corp."", in a trademark opposition under Section 2(d) of the Lanham Act, likelihood of confusion is a question of law, based on"," findings of relevant underlying facts, namely findings under the DuPont factors.","According to the opinion in ""Apex Bank v. CC Serve Corp."", in a trademark opposition under Section 2(d) of the Lanham Act, likelihood of confusion is a question of law, based on findings of relevant underlying facts, namely findings under the DuPont factors.",Clean suffix preserves basis
Apex_Bank_v_Cc_Serve_Corp,41,11,7,ACCEPT,True,accepted,4,"According to the opinion in ""Apex Bank v. CC Serve Corp."", the Board concluded that", the sixth DuPont factor did not weigh in favor of Apex.,"According to the opinion in ""Apex Bank v. CC Serve Corp."", the Board concluded that the sixth DuPont factor", did not weigh in favor of Apex.,"According to the opinion in ""Apex Bank v. CC Serve Corp."", the Board concluded that the sixth DuPont factor did not weigh in favor of Apex.",Clean suffix preserves conclusion
Apex_Bank_v_Cc_Serve_Corp,43,10,6,ACCEPT,True,accepted,4,"According to the opinion in ""Apex Bank v. CC Serve Corp."", when applying the second DuPont factor on the similarity of the parties’ goods or services, the services need not be identical; the evidence may instead show that the products are related or that the circumstances surrounding their marketing could give rise to", the mistaken belief that they emanate from the same source.,"According to the opinion in ""Apex Bank v. CC Serve Corp."", when applying the second DuPont factor on the similarity of the parties’ goods or services, the services need not be identical; the evidence may instead show that the products are related or that the circumstances surrounding their marketing could give rise to the mistaken belief that", they emanate from the same source.,"According to the opinion in ""Apex Bank v. CC Serve Corp."", when applying the second DuPont factor on the similarity of the parties’ goods or services, the services need not be identical; the evidence may instead show that the products are related or that the circumstances surrounding their marketing could give rise to the mistaken belief that they emanate from the same source.",Clean suffix preserves mistaken-belief content
Apex_Bank_v_Cc_Serve_Corp,46,13,9,ACCEPT,True,accepted,4,"In the case ""Apex Bank v. CC Serve Corp."", when assessing the second DuPont factor and the relatedness of credit card services to banking and financing services, the Board considered evidence to support its finding that the services could emanate from a single source under one mark, namely", third-party registrations that cover (1) credit card and (2) banking and financing services,"In the case ""Apex Bank v. CC Serve Corp."", when assessing the second DuPont factor and the relatedness of credit card services to banking and financing services, the Board considered evidence to support its finding that the services could emanate from a single source under one mark, namely third-party registrations that cover", (1) credit card and (2) banking and financing services,"In the case ""Apex Bank v. CC Serve Corp."", when assessing the second DuPont factor and the relatedness of credit card services to banking and financing services, the Board considered evidence to support its finding that the services could emanate from a single source under one mark, namely third-party registrations that cover (1) credit card and (2) banking and financing services",Clean suffix preserves registration coverage
Apex_Bank_v_Cc_Serve_Corp,48,13,10,ACCEPT,True,accepted,3,"According to the opinion in ""Apex Bank v. CC Serve Corp."", the court said that", substantial evidence supports the Board’s finding that the parties’ services are highly similar.,"According to the opinion in ""Apex Bank v. CC Serve Corp."", the court said that substantial evidence supports", the Board’s finding that the parties’ services are highly similar.,"According to the opinion in ""Apex Bank v. CC Serve Corp."", the court said that substantial evidence supports the Board’s finding that the parties’ services are highly similar.",Clean suffix preserves supported finding
Apex_Bank_v_Cc_Serve_Corp,52,15,8,ACCEPT,True,accepted,7,"According to the opinion in ""Apex Bank v. CC Serve Corp."", when addressing the sixth DuPont factor, Apex submitted", several exhibits to the Board that showed third-party uses of marks including the word “Aspire”.,"According to the opinion in ""Apex Bank v. CC Serve Corp."", when addressing the sixth DuPont factor, Apex submitted several exhibits to the Board that showed", third-party uses of marks including the word “Aspire”.,"According to the opinion in ""Apex Bank v. CC Serve Corp."", when addressing the sixth DuPont factor, Apex submitted several exhibits to the Board that showed third-party uses of marks including the word “Aspire”.",Clean suffix preserves evidence content
Apex_Bank_v_Cc_Serve_Corp,69,17,14,ACCEPT,True,accepted,3,"According to the opinion in ""Apex Bank v. CC Serve Corp."", the opinion explains that the first DuPont factor looks to the overall commercial impression of the marks and considers whether", confusion as to the source of the services offered under the respective marks is likely to result.,"According to the opinion in ""Apex Bank v. CC Serve Corp."", the opinion explains that the first DuPont factor looks to the overall commercial impression of the marks and considers whether confusion as to", the source of the services offered under the respective marks is likely to result.,"According to the opinion in ""Apex Bank v. CC Serve Corp."", the opinion explains that the first DuPont factor looks to the overall commercial impression of the marks and considers whether confusion as to the source of the services offered under the respective marks is likely to result.",Clean suffix preserves confusion focus
Apex_Bank_v_Cc_Serve_Corp,73,11,6,ACCEPT,True,accepted,5,"According to the opinion in ""Apex Bank v. CC Serve Corp."", after vacating the Board’s findings on DuPont factors six and one and remanding the case, the court said the Board must consider on remand", the number and nature of similar marks used on similar goods,"According to the opinion in ""Apex Bank v. CC Serve Corp."", after vacating the Board’s findings on DuPont factors six and one and remanding the case, the court said the Board must consider on remand the number and nature of", similar marks used on similar goods,"According to the opinion in ""Apex Bank v. CC Serve Corp."", after vacating the Board’s findings on DuPont factors six and one and remanding the case, the court said the Board must consider on remand the number and nature of similar marks used on similar goods",Clean suffix preserves remand consideration
Bruce_Cohen_v_Consilio_LLC,6,13,12,ACCEPT,True,accepted,1,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", after raising a jurisdictional concern about whether Cohen’s MFLSA claim for statutory penalties might be moot, the appellate court decided to", vacate the district court’s grant of summary judgment as to Cohen’s MFLSA claim,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", after raising a jurisdictional concern about whether Cohen’s MFLSA claim for statutory penalties might be moot, the appellate court decided to vacate", the district court’s grant of summary judgment as to Cohen’s MFLSA claim,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", after raising a jurisdictional concern about whether Cohen’s MFLSA claim for statutory penalties might be moot, the appellate court decided to vacate the district court’s grant of summary judgment as to Cohen’s MFLSA claim",Clean suffix preserves vacated ruling
Bruce_Cohen_v_Consilio_LLC,18,9,8,ACCEPT,True,accepted,1,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", when Cohen filed suit in August 2020 on behalf of himself and a putative class, he alleged that Consilio failed to pay", overtime wages owed to him and similarly situated employees.,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", when Cohen filed suit in August 2020 on behalf of himself and a putative class, he alleged that Consilio failed to pay overtime", wages owed to him and similarly situated employees.,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", when Cohen filed suit in August 2020 on behalf of himself and a putative class, he alleged that Consilio failed to pay overtime wages owed to him and similarly situated employees.",Clean suffix preserves unpaid wages object
Bruce_Cohen_v_Consilio_LLC,26,14,11,ACCEPT,True,accepted,3,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", Cohen sued Consilio under Minnesota wage statutes, including the Minnesota Fair Labor Standards Act, and the parties’ stipulation stated that he had", been paid for all overtime wages he alleges he is owed in this lawsuit,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", Cohen sued Consilio under Minnesota wage statutes, including the Minnesota Fair Labor Standards Act, and the parties’ stipulation stated that he had been paid for", all overtime wages he alleges he is owed in this lawsuit,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", Cohen sued Consilio under Minnesota wage statutes, including the Minnesota Fair Labor Standards Act, and the parties’ stipulation stated that he had been paid for all overtime wages he alleges he is owed in this lawsuit",Clean suffix preserves payment scope
Bruce_Cohen_v_Consilio_LLC,29,20,12,ACCEPT,True,accepted,8,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", after Consilio made payments, the parties stipulated that the most expedient and efficient path forward would be for the Court to"," hear and decide Defendants’ summary judgment motion on [the MPWA, MFLSA, and MWTA claims] before any further discovery or litigation","According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", after Consilio made payments, the parties stipulated that the most expedient and efficient path forward would be for the Court to hear and decide Defendants’ summary judgment motion on"," [the MPWA, MFLSA, and MWTA claims] before any further discovery or litigation","According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", after Consilio made payments, the parties stipulated that the most expedient and efficient path forward would be for the Court to hear and decide Defendants’ summary judgment motion on [the MPWA, MFLSA, and MWTA claims] before any further discovery or litigation",Clean suffix preserves motion scope
Bruce_Cohen_v_Consilio_LLC,30,11,6,ACCEPT,True,accepted,5,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", after the parties stipulated that the court should decide the defendants’ summary judgment motion on the MPWA, MFLSA, and MWTA claims before further litigation, Cohen and Consilio acknowledged that if the court granted the defendants’ summary judgment motion in full,", no claims w[ould] remain and the case w[ould] be fully resolved,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", after the parties stipulated that the court should decide the defendants’ summary judgment motion on the MPWA, MFLSA, and MWTA claims before further litigation, Cohen and Consilio acknowledged that if the court granted the defendants’ summary judgment motion in full, no claims w[ould] remain and", the case w[ould] be fully resolved,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", after the parties stipulated that the court should decide the defendants’ summary judgment motion on the MPWA, MFLSA, and MWTA claims before further litigation, Cohen and Consilio acknowledged that if the court granted the defendants’ summary judgment motion in full, no claims w[ould] remain and the case w[ould] be fully resolved",Clean suffix preserves resolution consequence
Bruce_Cohen_v_Consilio_LLC,36,13,10,ACCEPT,True,accepted,3,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", the court explained that an employee may recover civil penalties or damages under the MPWA only when those remedies are", “provided for in the section” of the MPWA that the employer allegedly violates.,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", the court explained that an employee may recover civil penalties or damages under the MPWA only when those remedies are “provided for in", the section” of the MPWA that the employer allegedly violates.,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", the court explained that an employee may recover civil penalties or damages under the MPWA only when those remedies are “provided for in the section” of the MPWA that the employer allegedly violates.",Clean suffix preserves statutory condition
Bruce_Cohen_v_Consilio_LLC,38,15,11,ACCEPT,True,accepted,4,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", when discussing the Minnesota Payment of Wages Act and Minn. Stat. § 181.171, an employer found to have violated the covered sections is liable to", the aggrieved party for the civil penalties or damages provided for in the section violated.,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", when discussing the Minnesota Payment of Wages Act and Minn. Stat. § 181.171, an employer found to have violated the covered sections is liable to the aggrieved party for", the civil penalties or damages provided for in the section violated.,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", when discussing the Minnesota Payment of Wages Act and Minn. Stat. § 181.171, an employer found to have violated the covered sections is liable to the aggrieved party for the civil penalties or damages provided for in the section violated.",Clean suffix preserves liability object
Bruce_Cohen_v_Consilio_LLC,39,11,10,ACCEPT,True,accepted,1,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", when discussing Cohen’s Minnesota Payment of Wages Act claim under Minn. Stat. § 181.171, an employer found to have violated the covered sections may be liable for", the civil penalties or damages provided for in the section violated.,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", when discussing Cohen’s Minnesota Payment of Wages Act claim under Minn. Stat. § 181.171, an employer found to have violated the covered sections may be liable for the", civil penalties or damages provided for in the section violated.,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", when discussing Cohen’s Minnesota Payment of Wages Act claim under Minn. Stat. § 181.171, an employer found to have violated the covered sections may be liable for the civil penalties or damages provided for in the section violated.",Removes article and preserves coherent target
Bruce_Cohen_v_Consilio_LLC,44,12,2,ACCEPT,True,accepted,10,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", before penalties are available under the Minnesota Payment of Wages Act and Minn. Stat. § 181.101, penalties are only available if the Commissioner first", serve[s] a demand for payment [of wages] on behalf of an employee.,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", before penalties are available under the Minnesota Payment of Wages Act and Minn. Stat. § 181.101, penalties are only available if the Commissioner first serve[s] a demand for payment [of wages] on behalf of", an employee.,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", before penalties are available under the Minnesota Payment of Wages Act and Minn. Stat. § 181.101, penalties are only available if the Commissioner first serve[s] a demand for payment [of wages] on behalf of an employee.",Clean suffix preserves beneficiary
Bruce_Cohen_v_Consilio_LLC,52,22,19,ACCEPT,True,accepted,3,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", when discussing Minn. Stat. Ann. § 181.101(a) and Cohen’s claim under the Minnesota Payment of Wages Act, the opinion states that the section provides a substantive right for employees to"," the payment of wages . . . as well as commissions, in addition to the right to be paid at certain times","According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", when discussing Minn. Stat. Ann. § 181.101(a) and Cohen’s claim under the Minnesota Payment of Wages Act, the opinion states that the section provides a substantive right for employees to the payment of"," wages . . . as well as commissions, in addition to the right to be paid at certain times","According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", when discussing Minn. Stat. Ann. § 181.101(a) and Cohen’s claim under the Minnesota Payment of Wages Act, the opinion states that the section provides a substantive right for employees to the payment of wages . . . as well as commissions, in addition to the right to be paid at certain times",Clean suffix preserves substantive right
Bruce_Cohen_v_Consilio_LLC,55,10,9,ACCEPT,True,accepted,1,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", the Eighth Circuit quoted Lagasse v. Horton for the proposition that the Legislature’s action in one statute but inaction in another shows that the Legislature knows how to", accomplish a particular objective if it wishes to do so,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", the Eighth Circuit quoted Lagasse v. Horton for the proposition that the Legislature’s action in one statute but inaction in another shows that the Legislature knows how to accomplish", a particular objective if it wishes to do so,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", the Eighth Circuit quoted Lagasse v. Horton for the proposition that the Legislature’s action in one statute but inaction in another shows that the Legislature knows how to accomplish a particular objective if it wishes to do so",Clean suffix preserves objective
Bruce_Cohen_v_Consilio_LLC,56,9,8,ACCEPT,True,accepted,1,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", when the Eighth Circuit reviewed the district court’s summary judgment ruling on Cohen’s claim under the Minnesota Payment of Wages Act, the opinion stated that under Minn. Stat. § 181.101,", only the Commissioner may seek daily average wage penalties,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", when the Eighth Circuit reviewed the district court’s summary judgment ruling on Cohen’s claim under the Minnesota Payment of Wages Act, the opinion stated that under Minn. Stat. § 181.101, only", the Commissioner may seek daily average wage penalties,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", when the Eighth Circuit reviewed the district court’s summary judgment ruling on Cohen’s claim under the Minnesota Payment of Wages Act, the opinion stated that under Minn. Stat. § 181.101, only the Commissioner may seek daily average wage penalties",Removes leading limiter and preserves actor
Bruce_Cohen_v_Consilio_LLC,67,12,7,ACCEPT,True,accepted,5,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", and the mootness standard quoted from Friends of the Earth, Cohen’s claim for statutory penalties under the MFLSA could become moot only if it is absolutely clear", that the allegedly wrongful behavior could not reasonably be expected to recur.,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", and the mootness standard quoted from Friends of the Earth, Cohen’s claim for statutory penalties under the MFLSA could become moot only if it is absolutely clear that the allegedly wrongful behavior", could not reasonably be expected to recur.,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", and the mootness standard quoted from Friends of the Earth, Cohen’s claim for statutory penalties under the MFLSA could become moot only if it is absolutely clear that the allegedly wrongful behavior could not reasonably be expected to recur.",Clean suffix preserves mootness standard
Bruce_Cohen_v_Consilio_LLC,68,9,6,ACCEPT,True,accepted,3,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", when the Eighth Circuit discussed mootness and Cohen’s claim for statutory penalties, it explained that a defendant’s voluntary cessation of a challenged practice does not deprive a federal court of", its power to determine the legality of the practice,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", when the Eighth Circuit discussed mootness and Cohen’s claim for statutory penalties, it explained that a defendant’s voluntary cessation of a challenged practice does not deprive a federal court of its power to", determine the legality of the practice,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", when the Eighth Circuit discussed mootness and Cohen’s claim for statutory penalties, it explained that a defendant’s voluntary cessation of a challenged practice does not deprive a federal court of its power to determine the legality of the practice",Clean suffix preserves court power
Bruce_Cohen_v_Consilio_LLC,69,12,7,ACCEPT,True,accepted,5,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", while reviewing the district court’s summary judgment ruling on Cohen’s MFLSA claim, the Eighth Circuit noted that although the parties agreed Cohen had been paid all overtime wages and liquidated damages before Consilio moved for summary judgment,", whether Consilio’s violative overtime policy is still in place remains in dispute.,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", while reviewing the district court’s summary judgment ruling on Cohen’s MFLSA claim, the Eighth Circuit noted that although the parties agreed Cohen had been paid all overtime wages and liquidated damages before Consilio moved for summary judgment, whether Consilio’s violative overtime policy", is still in place remains in dispute.,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", while reviewing the district court’s summary judgment ruling on Cohen’s MFLSA claim, the Eighth Circuit noted that although the parties agreed Cohen had been paid all overtime wages and liquidated damages before Consilio moved for summary judgment, whether Consilio’s violative overtime policy is still in place remains in dispute.",Clean suffix preserves disputed status
Bruce_Cohen_v_Consilio_LLC,70,11,6,ACCEPT,True,accepted,5,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", the Eighth Circuit explained that Cohen’s MFLSA claim for civil penalties might be moot after he had already been paid all overtime wages and liquidated damages, but only if", it is “absolutely clear” that its wrongful conduct will not recur,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", the Eighth Circuit explained that Cohen’s MFLSA claim for civil penalties might be moot after he had already been paid all overtime wages and liquidated damages, but only if it is “absolutely clear” that", its wrongful conduct will not recur,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", the Eighth Circuit explained that Cohen’s MFLSA claim for civil penalties might be moot after he had already been paid all overtime wages and liquidated damages, but only if it is “absolutely clear” that its wrongful conduct will not recur",Clean suffix preserves recurrence condition
Bruce_Cohen_v_Consilio_LLC,72,10,6,ACCEPT,True,accepted,4,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", Cohen alleged that when Consilio changed its overtime policy as part of his MWTA claim, it failed to provide", statutorily required notice of a change in its overtime policy,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", Cohen alleged that when Consilio changed its overtime policy as part of his MWTA claim, it failed to provide statutorily required notice of", a change in its overtime policy,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", Cohen alleged that when Consilio changed its overtime policy as part of his MWTA claim, it failed to provide statutorily required notice of a change in its overtime policy",Clean suffix preserves notice subject
Finesse_Wireless_LLC_v_Att_Mobility_LLC,1,9,4,ACCEPT,True,accepted,5,"According to the opinion in ""Finesse Wireless LLC v. AT&T Mobility LLC,"" after the jury found all asserted claims of the ’134 and ’775 patents valid and infringed, it awarded lump-sum damages for", the remaining life of the ’134 and ’775 patents.,"According to the opinion in ""Finesse Wireless LLC v. AT&T Mobility LLC,"" after the jury found all asserted claims of the ’134 and ’775 patents valid and infringed, it awarded lump-sum damages for the remaining life of the", ’134 and ’775 patents.,"According to the opinion in ""Finesse Wireless LLC v. AT&T Mobility LLC,"" after the jury found all asserted claims of the ’134 and ’775 patents valid and infringed, it awarded lump-sum damages for the remaining life of the ’134 and ’775 patents.",Clean suffix preserves patent term object
