domain,probe_index,target_words,probe,target,fact,raw_knowledge_statement,contextualized_question
Autoimmune_heparininduced_thrombocytopenia_following_cardiac,79,10,"In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the patient was treated with fondaparinux until postoperative day 65, when apixaban was restarted at"," 5 mg, two times per day orally, for long-term anticoagulation.","In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the patient was treated with fondaparinux until postoperative day 65, when apixaban was restarted at 5 mg, two times per day orally, for long-term anticoagulation.","Fondaparinux was given until POD65, at which time apixaban was resumed at 5 mg, two times per day orally, for long-term anticoagulation.","In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the patient was treated with fondaparinux until postoperative day 65, when apixaban was restarted for long-term anticoagulation. At what dose was apixaban resumed?"
Autoimmune_heparininduced_thrombocytopenia_following_cardiac,81,10,"According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", a last blood sample tested on POD124 after platelet count recovery showed a serotonin-release assay profile consistent with predominantly heparin-dependent HIT antibodies, with", 100% release in the presence of UFH at 0.3 U/mL,"According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", a last blood sample tested on POD124 after platelet count recovery showed a serotonin-release assay profile consistent with predominantly heparin-dependent HIT antibodies, with 100% release in the presence of UFH at 0.3 U/mL","Serial SRA results remained strongly positive for several months, with several subsequent SRA profiles showing a more characteristic SRA profile for aHIT (figure 2); the last blood sample tested, obtained at POD124 following platelet count recovery, showed a result consistent with predominantly heparin-dependent HIT antibodies, with only 15% serotonin release in the absence of UFH but 100% release in the presence of UFH at 0.3 U/mL.","According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", a last blood sample tested on POD124 after platelet count recovery showed a serotonin-release assay profile consistent with predominantly heparin-dependent HIT antibodies. In that sample, what was the serotonin release in the presence of UFH at 0.3 U/mL?"
Autoimmune_heparininduced_thrombocytopenia_following_cardiac,84,11,"According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the usual temporal window of HIT is", between POD5 and POD10 (inclusive) for patients who had cardiac surgery,"According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the usual temporal window of HIT is between POD5 and POD10 (inclusive) for patients who had cardiac surgery","First, his onset of HIT-related thrombocytopenia began before the usual temporal window of HIT, which is between POD5 and POD10 (inclusive) for patients who had cardiac surgery.","According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the authors note that this patient’s HIT-related thrombocytopenia started earlier than the usual postoperative timing for HIT after cardiac surgery. What is the usual temporal window of HIT in patients who had cardiac surgery?"
Autoimmune_heparininduced_thrombocytopenia_following_cardiac,89,9,"According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", a brisk correction of thrombocytopenia usually occurs when", high-dose intravenous Ig is given to patients with aHIT,"According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", a brisk correction of thrombocytopenia usually occurs when high-dose intravenous Ig is given to patients with aHIT","Third, our patient did not exhibit a brisk correction of thrombocytopenia, as usually occurs when high-dose intravenous Ig is given to patients with aHIT; this points to the patient having an unusually severe form of this entity.","According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the authors noted that this patient’s thrombocytopenia did not correct briskly. In patients with autoimmune heparin-induced thrombocytopenia (aHIT), which treatment is usually associated with a brisk correction of thrombocytopenia?"
Autoimmune_heparininduced_thrombocytopenia_following_cardiac,96,11,"In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the authors ultimately confirmed autoimmune HIT in part because there was", no other plausible diagnosis to explain the patient’s unusual clinical course,"In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the authors ultimately confirmed autoimmune HIT in part because there was no other plausible diagnosis to explain the patient’s unusual clinical course","And third, there was no other plausible diagnosis to explain the patient’s unusual clinical course.","In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the authors ultimately confirmed autoimmune HIT in part because the patient’s unusual clinical course could not be explained by what alternative explanation?"
Central_hypoventilation_and_choking_episodes_revealing_Chiar,4,10,"According to the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", the background discussion notes that contemporary evidence challenges the idea that Chiari malformation type I is always pathological and proposes that CMI may represent", a spectrum from normal anatomical variants to clinically significant malformations.,"According to the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", the background discussion notes that contemporary evidence challenges the idea that Chiari malformation type I is always pathological and proposes that CMI may represent a spectrum from normal anatomical variants to clinically significant malformations.","However, contemporary evidence challenges the traditional conceptualisation of CMI as universally pathological, proposing instead a spectrum from normal anatomical variants to clinically significant malformations.","According to the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", the background discussion notes that contemporary evidence challenges the idea that Chiari malformation type I is always pathological. What does this evidence propose CMI may represent instead?"
Central_hypoventilation_and_choking_episodes_revealing_Chiar,11,10,"According to the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", the patient’s symptoms had started 14 years before presentation following", a minor motor vehicle accident with brief loss of consciousness.,"According to the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", the patient’s symptoms had started 14 years before presentation following a minor motor vehicle accident with brief loss of consciousness.","A more detailed clinical history revealed that her symptoms began 14 years earlier, following a minor motor vehicle accident with brief loss of consciousness.","According to the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", the patient’s symptoms had started 14 years before presentation. What event immediately preceded the onset of those symptoms?"
Central_hypoventilation_and_choking_episodes_revealing_Chiar,43,12,"According to the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", a woman in her early 40s with recurrent choking episodes underwent several investigations to look for a cause.", Multiple laryngoscopies and endoscopies performed to investigate the choking episodes were normal.,"According to the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", a woman in her early 40s with recurrent choking episodes underwent several investigations to look for a cause. Multiple laryngoscopies and endoscopies performed to investigate the choking episodes were normal.",Multiple laryngoscopies and endoscopies performed to investigate the choking episodes were normal.,"According to the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", a woman in her early 40s had recurrent choking episodes, and several investigations were done to look for a cause. What procedures were performed to investigate these choking episodes?"
Central_hypoventilation_and_choking_episodes_revealing_Chiar,53,9,"According to the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", the pathophysiology of Chiari malformation type I is described as involving a developmentally small posterior fossa, creating", a volumetric mismatch between neural structures and available space,"According to the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", the pathophysiology of Chiari malformation type I is described as involving a developmentally small posterior fossa, creating a volumetric mismatch between neural structures and available space","Pathophysiology centres on a developmentally small posterior fossa, creating a volumetric mismatch between neural structures and available space.","According to the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", the pathophysiology of Chiari malformation type I is described as involving a developmentally small posterior fossa. What kind of mismatch does this create between the neural structures and the space available to them?"
Central_hypoventilation_and_choking_episodes_revealing_Chiar,67,9,"In the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", the authors note that respiratory effects of Chiari malformation type I can extend beyond sleep disturbance, and in a case series of patients with this condition, the severe respiratory complications documented were", acute respiratory failure and life-threatening hypoxaemia in CMI patients.,"In the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", the authors note that respiratory effects of Chiari malformation type I can extend beyond sleep disturbance, and in a case series of patients with this condition, the severe respiratory complications documented were acute respiratory failure and life-threatening hypoxaemia in CMI patients.",This respiratory pathology extends beyond sleep disturbance; a case series documented acute respiratory failure and life-threatening hypoxaemia in CMI patients.,"In the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", the authors note that respiratory effects of Chiari malformation type I can extend beyond sleep disturbance. In a case series of patients with this condition, what severe respiratory complication was documented?"
Central_hypoventilation_and_choking_episodes_revealing_Chiar,105,10,"In the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", the patient’s choking symptoms were initially considered possibly due to gastro-oesophageal reflux disease with laryngopharyngeal reflux, and normal pH studies, normal endoscopies and", lack of response to maximal acid suppression excluded this diagnosis.,"In the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", the patient’s choking symptoms were initially considered possibly due to gastro-oesophageal reflux disease with laryngopharyngeal reflux, and normal pH studies, normal endoscopies and lack of response to maximal acid suppression excluded this diagnosis.","Normal pH studies, normal endoscopies and lack of response to maximal acid suppression excluded this diagnosis.","In the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", the patient’s choking symptoms were initially considered possibly due to gastro-oesophageal reflux disease with laryngopharyngeal reflux. Normal pH studies and normal endoscopies were part of the workup; what finding regarding acid suppression helped exclude this diagnosis?"
Central_hypoventilation_and_choking_episodes_revealing_Chiar,107,11,"According to the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", myasthenia gravis was considered during evaluation of the patient’s bulbar-region symptoms, but it was made unlikely by"," negative antibody testing, lack of fatigability and absence of diurnal variation.","According to the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", myasthenia gravis was considered during evaluation of the patient’s bulbar-region symptoms, but it was made unlikely by negative antibody testing, lack of fatigability and absence of diurnal variation.","Negative antibody testing, lack of fatigability and absence of diurnal variation made this unlikely.","According to the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", myasthenia gravis was considered during the evaluation of the patient’s choking episodes and bulbar symptoms. What finding related to fatigability made this diagnosis unlikely?"
Central_hypoventilation_and_choking_episodes_revealing_Chiar,112,10,"According to the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", because the patient chose to defer surgery, a structured monitoring plan was started that included"," monthly clinical assessments, quarterly overnight oximetry and annual MRI surveillance.","According to the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", because the patient chose to defer surgery, a structured monitoring plan was started that included monthly clinical assessments, quarterly overnight oximetry and annual MRI surveillance.","This includes monthly clinical assessments, quarterly overnight oximetry and annual MRI surveillance.","According to the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", the patient chose to defer surgery, so a structured monitoring plan was started. What was included in that plan on a monthly basis?"
Central_hypoventilation_and_choking_episodes_revealing_Chiar,118,15,"According to the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", the authors propose a brainstem pathology to explain the patient's lack of dyspnea during episodes of severe oxygen desaturation, which likely interrupts", the critical afferent neural pathways that must ascend to the cortex to produce conscious sensation.,"According to the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", the authors propose a brainstem pathology to explain the patient's lack of dyspnea during episodes of severe oxygen desaturation, which likely interrupts the critical afferent neural pathways that must ascend to the cortex to produce conscious sensation.",This proposed brainstem pathology likely interrupts the critical afferent neural pathways that must ascend to the cortex to produce conscious sensation.,"In the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", the authors propose a brainstem pathology to explain the patient's lack of dyspnea during episodes of severe oxygen desaturation. According to the report, what type of neural pathways does this pathology likely interrupt before they ascend to the cortex to produce conscious sensation?"
Central_hypoventilation_and_choking_episodes_revealing_Chiar,128,12,"According to the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", after the earlier sleep evaluation had limitations, the study arranged at an external sleep centre for the patient was"," Type I polysomnography with full EEG monitoring, end-tidal capnography and video recording","According to the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", after the earlier sleep evaluation had limitations, the study arranged at an external sleep centre for the patient was Type I polysomnography with full EEG monitoring, end-tidal capnography and video recording","Type I polysomnography with full EEG monitoring, end-tidal capnography and video recording has been arranged at an external sleep centre.","According to the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", what type of polysomnography was arranged at an external sleep centre for the patient, after the earlier sleep evaluation had limitations?"
Central_hypoventilation_and_choking_episodes_revealing_Chiar,144,13,"According to the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", the authors reviewed and contrasted the literature to contextualise their findings, drawing on", five published case reports where CMI presented with acute or prolonged respiratory insufficiency,"According to the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", the authors reviewed and contrasted the literature to contextualise their findings, drawing on five published case reports where CMI presented with acute or prolonged respiratory insufficiency","To contextualise our findings, we reviewed and contrasted five published case reports where CMI presented with acute or prolonged respiratory insufficiency.","According to the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", the authors reviewed and contrasted published case reports to contextualise their findings about Chiari malformation type I presenting with acute or prolonged respiratory insufficiency. How many published case reports did they review and contrast?"
Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,44,19,"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", a male in his 40s first presented to the emergency department with", a 3-week history of progressive neck swelling and proximal muscle weakness in his hip flexors accompanied by mild myalgia,"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", a male in his 40s first presented to the emergency department with a 3-week history of progressive neck swelling and proximal muscle weakness in his hip flexors accompanied by mild myalgia",A male in his 40s initially presented to an emergency department with a 3-week history of progressive neck swelling and proximal muscle weakness in his hip flexors accompanied by mild myalgia.,"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", a male in his 40s first presented to the emergency department with progressive neck swelling, proximal weakness in his hip flexors, and mild myalgia. How long had the neck swelling been present at that initial presentation?"
Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,52,11,"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", a man in his 40s had persistent neck swelling with no identified cause and was transferred to"," a quaternary hospital with ear, nose and throat (ENT) surgery services","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", a man in his 40s had persistent neck swelling with no identified cause and was transferred to a quaternary hospital with ear, nose and throat (ENT) surgery services","Due to persistent swelling with no cause, he was transferred to a quaternary hospital with ear, nose and throat (ENT) surgery services for further evaluation.","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", a man in his 40s had persistent neck swelling with no identified cause and was referred for further ear, nose and throat (ENT) evaluation. Where was he transferred for that assessment?"
Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,56,10,"In the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", a man in his 40s being reviewed for progressive neck swelling that had raised concern for angioedema had the facial skin finding on examination of", generalised erythema of the face including over the nasolabial folds,"In the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", a man in his 40s being reviewed for progressive neck swelling that had raised concern for angioedema had the facial skin finding on examination of generalised erythema of the face including over the nasolabial folds","On review, he was noted to have generalised erythema of the face including over the nasolabial folds and an erythematous, swollen and non-tender neck.","In the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", a man in his 40s was being reviewed for progressive neck swelling that had raised concern for angioedema. On examination, what facial skin finding was noted, including the area over the nasolabial folds?"
Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,61,14,"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", the creatine kinase level requested for a man in his 40s with 3 weeks of progressive neck swelling and proximal muscle weakness", was found on the next day to be significantly elevated at 16 184 U/L.,"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", the creatine kinase level requested for a man in his 40s with 3 weeks of progressive neck swelling and proximal muscle weakness was found on the next day to be significantly elevated at 16 184 U/L.",A creatine kinase level was requested and was found on the next day to be significantly elevated at 16 184 U/L.,"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", a creatine kinase level was requested for a man in his 40s with 3 weeks of progressive neck swelling and proximal muscle weakness. When was that creatine kinase level found to be significantly elevated?"
Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,74,12,"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", abdominal CT performed during the workup for the patient’s neck swelling and suspected dermatomyositis showed", no evidence of primary or metastatic malignancy in the abdomen or pelvis,"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", abdominal CT performed during the workup for the patient’s neck swelling and suspected dermatomyositis showed no evidence of primary or metastatic malignancy in the abdomen or pelvis",CT of his abdomen showed no enlargement of abdomino-pelvic lymph nodes and no evidence of primary or metastatic malignancy in the abdomen or pelvis.,"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", abdominal CT was performed during the workup for the patient’s neck swelling and suspected dermatomyositis. What did the scan show regarding primary or metastatic malignancy in the abdomen or pelvis?"
Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,77,12,"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", during the workup of a man in his 40s with suspected dermatomyositis, a thigh MRI showed active myositis in some muscles and milder myositis"," involving the hip adductors, bilateral gracilis muscles and bilateral distal iliopsoas muscles","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", during the workup of a man in his 40s with suspected dermatomyositis, a thigh MRI showed active myositis in some muscles and milder myositis involving the hip adductors, bilateral gracilis muscles and bilateral distal iliopsoas muscles","MRI of the thighs showed changes consistent with active myositis in the bilateral obturator internus and externus muscles and milder myositis involving the hip adductors, bilateral gracilis muscles and bilateral distal iliopsoas muscles (figure 2).","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", a thigh MRI was performed during the workup of a man in his 40s with suspected dermatomyositis and showed active myositis in some muscles and milder involvement in others. Which muscles had milder myositis on the MRI of the thighs?"
Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,78,12,"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", an FDG-PET scan was performed to further support active muscle inflammation in a man in his 40s with progressive neck swelling and myositis, and FDG accumulation was most prominent in"," the head and neck, bilateral deltoids, forearms, chest wall, abdomen and pelvis","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", an FDG-PET scan was performed to further support active muscle inflammation in a man in his 40s with progressive neck swelling and myositis, and FDG accumulation was most prominent in the head and neck, bilateral deltoids, forearms, chest wall, abdomen and pelvis","Active muscle inflammation was further supported by fluorodeoxyglucose (FDG)-positron emission tomography (PET) scan which showed diffuse and abnormal FDG accumulation within multiple muscle groups and most prominent in the head and neck, bilateral deltoids, forearms, chest wall, abdomen and pelvis (figure 3).","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", an FDG-PET scan was performed to further support active muscle inflammation in a man in his 40s with progressive neck swelling and myositis. In which regions was FDG accumulation most prominent on that scan?"
