review_id,decision,issue_categories,review_reason,fixed_question_stem,fixed_option_a,fixed_option_b,fixed_option_c,fixed_option_d,fixed_option_e,fixed_correct_label,fixed_target
arxiv/ByteLatent/79,fix,stem_answer_mismatch;grammar,The correct option is an infinitive phrase that does not naturally answer a stem asking for a component.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", in the Encoder Hash n-gram Embeddings section, what do the authors say is key to creating robust, expressive representations at each step $i$?",incorporating information about the preceding bytes,encoding each byte with absolute positional embeddings,pooling byte representations into patch representations,attending to a fixed window of following bytes,using bidirectional token-level self-attention,(A),incorporating information about the preceding bytes
arxiv/ByteLatent/85,fix,truncated_stem;formatting,The stem ends with an incomplete formula placeholder instead of asking the modulus directly.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", in the byte $n$-gram hash definition, what quantity is used as the modulus after RollPolyHash is computed?",|V|,the number of n-gram sizes plus one,n,|E_{n}^{hash}|,"|g_{i,n}|",(D),|E_{n}^{hash}|
arxiv/ByteLatent/101,fix,formatting,The stem contains an extraneous prompt prefix that should be removed.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", why is the cross-attention layer in the decoder applied before the transformer layer?",to first initialize the decoder state from the byte embeddings of the last encoder layer,to first inject positional information into the byte sequence for autoregressive decoding,to let each patch query attend only to the bytes within its own patch,to first align the dimensionality of patch and byte hidden states before self-attention,to first create byte representations from the patch representations,(E),to first create byte representations from the patch representations
arxiv/ByteLatent/102,fix,option_type_mismatch;grammar,"One option is about positional embeddings rather than a normalization choice, and the correct option needs standard hyphenation.","According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", in the decoder cross-attention module, what kind of normalization is used as in the local encoder cross-attention?",RMSNorms.,pre-LayerNorms.,batch normalization layers.,no normalization.,post-LayerNorms.,(B),pre-LayerNorms.
arxiv/ByteLatent/108,fix,formatting,The stem contains an extraneous prompt prefix that should be removed.,"In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", what kind of model is the local decoder $\mathcal{D}$ in the architecture that decodes a sequence of global patch representations $o_j$ into raw bytes $y_i$?",multi-headed cross-attention module.,lightweight transformer-based model.,lightweight convolution-based model.,bidirectional transformer encoder.,pooling-based patch encoder.,(B),lightweight transformer-based model.
arxiv/ByteLatent/113,fix,option_type_mismatch,One distractor is a vocabulary size rather than a number of layers.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", in the experiments where the authors use a transformer with 100M parameters, a hidden dimensionality of 512, and sliding window attention of 512 bytes, how many layers does the transformer have unless otherwise mentioned?",16 layers.,14 layers.,10 layers.,18 layers.,12 layers.,(B),14 layers.
arxiv/ByteLatent/114,fix,option_type_mismatch,Some distractors are not sliding-window byte settings.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", what sliding window attention setting do the authors use for the 100M-parameter, 14-layer transformer with hidden dimensionality 512 in their entropy model experiments, unless otherwise mentioned?",384 bytes.,256 bytes.,1024 bytes.,512 bytes.,768 bytes.,(D),512 bytes.
arxiv/ByteLatent/118,fix,formatting,The stem contains an extraneous prompt prefix that should be removed.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", in the training setup where the authors use entropy-based patching and adjust sequence lengths to keep the average context length the same, what is kept constant in expectation in each batch to avoid giving larger patch sizes an unfair advantage?",the number of bytes.,the average patch size.,the number of tokens.,the sequence length in patches.,the average context length.,(A),the number of bytes.
arxiv/ByteLatent/131,fix,formatting,The stem contains an extraneous prompt prefix that should be removed.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", when the authors follow Chinchilla’s equations for transformer FLOPs in the FLOPs section, what layers are included in the computation in addition to the self-attention-related qkvo projections and the computation of attention and output projection?",the input embedding layers,the layer-normalization layers,the positional embedding layers,the feed-forward layers.,the cross-attention blocks,(D),the feed-forward layers.
arxiv/ByteLatent/136,fix,grammar,The correct option contains a misspelling of “monotonicity.”,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", in the large-scale run of {\textsc BLT}-Entropy with patch size 4.5, what constraint do the authors use after resetting the entropy context with new lines because it suffers less from ""entropy drift"" caused by changes in context length?",same entropy threshold selection procedure,strict monotonicity constraint,dynamic patch packing strategy,approximate monotonicity constraint,fixed-length 16k byte context window,(D),approximate monotonicity constraint
arxiv/ByteLatent/138,fix,formatting,The stem contains an extraneous prompt prefix that should be removed.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", what determines whether the attention uses a different context length, $m$, when computing attention flops?","the ratio of queries to key/values, r.",whether the layer uses self-attention or cross-attention.,"the vocabulary size used for the output projection, V.",whether the block belongs to the encoder or the decoder.,whether a module is applied on the byte or patch sequence.,(E),whether a module is applied on the byte or patch sequence.
arxiv/ByteLatent/142,fix,formatting,The stem contains an extraneous prompt prefix that should be removed.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", when comparing byte and token-level models, what tokenizer-independent metric do the authors report instead of perplexity?",byte-level perplexity,Bits-Per-Token (BPT),negative log-likelihood (NLL) per byte,normalized cross-entropy loss over bytes,Bits-Per-Byte (BPB),(E),Bits-Per-Byte (BPB)
arxiv/ByteLatent/166,fix,option_type_mismatch,Several distractors are not counts of hash functions.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", when configuring all {\textsc BLT} models with $500,000$ hashes and n-gram sizes ranging from 3 to 8, how many hash functions are used?",two hash functions.,three hash functions.,a single hash function.,five hash functions.,eight hash functions.,(C),a single hash function.
arxiv/ByteLatent/174,fix,formatting,The stem contains an extraneous prompt prefix that should be removed.,"In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", during optimization of the model, at what threshold is global gradient clipping applied?",0.1.,2.0.,0.95.,0.5.,1.0.,(E),1.0.
arxiv/ByteLatent/176,fix,option_type_mismatch,Some distractors are training-data quantities rather than parameter ranges.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", when training compute-optimal bpe and {\textsc BLT} models on the Llama 2 dataset, across what parameter range do the four model sizes span?",1B to 8B parameters.,2B to 8B parameters.,2B to 16B parameters.,7B to 70B parameters.,100M to 1B parameters.,(A),1B to 8B parameters.
arxiv/ByteLatent/194,fix,formatting,The stem contains an extraneous prompt prefix that should be removed.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", after training an 8B {\textsc BLT} model beyond the compute-optimal ratio on the {\textsc BLT}-1T dataset, what kind of benchmarks are used to measure its performance?",tokenizer and average patch-size scaling evaluations,standard classification and generation benchmarks,held-out perplexity and next-byte prediction benchmarks,standard translation and summarization benchmarks,common sense reasoning and world knowledge classification tasks,(B),standard classification and generation benchmarks
arxiv/ByteLatent/202,fix,option_type_mismatch,Some distractors are not among the classification tasks named in the stem.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", which classification task among ARC-Easy, Arc-Challenge, HellaSwag, PIQA, and MMLU is evaluated in the 5-shot setting?",MMLU (5-shot).,ARC-Easy (0-shot).,Arc-Challenge (0-shot).,HellaSwag (0-shot).,PIQA (0-shot).,(A),MMLU (5-shot).
